ibx_onbs_rnkg,ibx_bzmn_reg_no,ibx_grp_nm,ibx_rprsv_nm,bid_ufns_rsn_nm,ibx_evl_scr_prpl,ibx_evl_scr_prce,ibx_evl_scr_ovrl,ibx_bdng_amt,ibx_slpr_rcptn_dt,sfbr_slctn_rslt_cd
1,2488800406,주식회사 성월,박은미,정상,0,0,0,25000000,2026-02-05 14:51:21,
1,2208181120,리딩투자증권 주식회사,최규원,정상,0,0,0,97500000000,2026-02-09 08:52:06,
1,1138524493,주식회사 청마,김영환,정상,0,0,0,85000000,2026-02-05 13:44:01,
2,2118838647,주식회사 한국건설환경,박상원,정상,0,0,0,98000000,2026-02-05 10:44:32,
1,2148738348,주식회사 모든오피스,정의진,정상,0,0,0,58128160,2026-02-06 12:54:12,
2,5568800684,가온샘 주식회사,정정숙,정상,0,0,0,67708000,2026-02-04 10:11:48,
3,8228100578,서주사이언티픽 주식회사,전상훈,정상,0,0,0,86531500,2026-02-05 17:28:08,
1,8408800236,주식회사 디자인그룹이루건축사사무소,정태영,정상,0,0,0,29000,2026-02-04 12:15:45,
2,8430200338,소담건축사사무소,배형근,정상,0,0,0,30000,2026-02-05 10:48:22,
3,2118153940,주식회사 종합건축사사무소가람건축,장연철,정상,0,0,0,32500,2026-02-05 10:23:15,
1,8408800236,주식회사 디자인그룹이루건축사사무소,정태영,정상,0,0,0,29000,2026-02-04 12:14:53,
2,8430200338,소담건축사사무소,배형근,정상,0,0,0,30000,2026-02-05 10:46:30,
3,2118153940,주식회사 종합건축사사무소가람건축,장연철,정상,0,0,0,32500,2026-02-05 10:21:19,
1,1198668346,주식회사 대한환경분석기관,신종우,정상,0,0,0,174000000,2026-02-05 15:36:26,
2,2158765173,주식회사 한국친환경연구소,양준승,정상,0,0,0,190000000,2026-02-04 12:32:26,
3,2208791014,주식회사 미래환경분석,박재홍,정상,0,0,0,196000000,2026-02-04 16:41:35,
4,1018676826,주식회사 한국산업환경연구소,박희웅,정상,0,0,0,210000000,2026-02-04 10:48:43,
5,2158733351,(주) 디오디엔지니어링,김설래,정상,0,0,0,229000000,2026-02-05 10:16:29,
6,1148659425,주식회사 친환경건축이에이그룹,전선식,정상,0,0,0,240000000,2026-02-04 11:02:19,
1,5158123858,(주)새길이엔시,박석기,정상,0,0,0,265000000,2026-02-06 08:06:46,
2,2098152540,주식회사 지오로직스,고인환,정상,0,0,0,269000000,2026-02-05 19:32:08,
3,1288164994,(주)제일지오텍엔지니어링,이교일,정상,0,0,0,330000000,2026-02-05 17:27:28,
4,2118884461,주식회사 정민지오테크,이윤상,정상,0,0,0,370000000,2026-02-05 12:39:28,
5,2078144952,(주) 아남이엔지,방성운,정상,0,0,0,407000000,2026-02-06 09:15:57,
6,2128607750,주식회사 시원이앤씨,유용찬,정상,0,0,0,422500000,2026-02-05 15:44:48,
7,5488100345,주식회사 현진엔지니어링,김현미,정상,0,0,0,430000000,2026-02-02 15:25:58,
8,2298107980,주식회사 제일엔지니어링종합건축사사무소,오승교,정상,0,0,0,459000000,2026-02-05 19:12:45,
9,2208873070,주식회사 보라엔지니어링,이종호,정상,0,0,0,471000000,2026-02-06 08:47:09,
10,1208759451,주식회사 비에스이엔지,이호창,정상,0,0,0,480000000,2026-02-05 09:41:10,
11,2208707646,(주)대교컨설턴트,연춘흠,정상,0,0,0,497000000,2026-02-06 09:11:50,
12,1268187894,(주)다솔엔지니어링,김현,정상,0,0,0,588000000,2026-02-04 14:58:43,
13,1148179498,(주)다산이엔지,이상헌,정상,0,0,0,640000000,2026-02-04 14:31:06,
14,2148622024,(주)인아엔지니어링,백승인,정상,0,0,0,710000000,2026-02-04 13:42:53,
1,2208764521,(주)친환경계획그룹 청연,김학건,정상,0,0,0,435900000,2026-02-06 09:03:10,
2,1148659425,주식회사 친환경건축이에이그룹,전선식,정상,0,0,0,436500000,2026-02-04 18:19:00,
3,1018199824,주식회사 이에이엔테크놀로지,신지웅,정상,0,0,0,436880000,2026-02-05 15:52:29,
4,2118838647,주식회사 한국건설환경,박상원,정상,0,0,0,465000000,2026-02-05 10:54:41,
1,6083878192,건일상사,김병수,정상,0,0,0,7841200,2026-02-02 17:05:11,
2,6091896569,우남크린,전유남,정상,0,0,0,10934200,2026-01-29 10:30:19,
1,2148637395,중앙법무사법인,조성천,정상,0,0,0,50,2026-01-28 17:10:42,
2,1338800462,이학수법무사법인(유한),이학수,정상,0,0,0,60,2026-01-28 15:46:09,
1,2148637395,중앙법무사법인,조성천,정상,0,0,0,50,2026-01-28 17:12:43,
2,1338800462,이학수법무사법인(유한),이학수,정상,0,0,0,60,2026-01-28 15:47:15,
1,4108192502,주식회사 우영기술단건축사사무소,이몽룡,정상,0,0,0,398000000,2026-01-28 15:59:47,
2,4258701363,만승엔지니어링 주식회사,김성환,정상,0,0,0,450000000,2026-01-28 15:12:39,
1,5068161426,하나자원 주식회사,구형회,정상,0,0,0,100000000,2026-01-30 14:22:31,
2,5131803245,문성자원,김동현,정상,0,0,0,98750000,2026-01-28 20:12:25,
1,1978102000,주식회사 에스에이치프라퍼티,구찬림,기준금액 초과,0,0,0,197000000,2026-02-02 09:59:22,
2,1228638606,주식회사 한국건설원가연구원,이상형,기준금액 초과,0,0,0,229000000,2026-02-03 09:15:32,
1,2158765173,주식회사 한국친환경연구소,양준승,정상,0,0,0,78000000,2026-01-28 11:02:01,
2,1088173785,용운환경주식회사,박승민,정상,0,0,0,84000000,2026-01-28 10:07:04,
3,1018676826,주식회사 한국산업환경연구소,박희웅,정상,0,0,0,98000000,2026-01-27 16:57:17,
4,2158733351,(주) 디오디엔지니어링,김설래,정상,0,0,0,110000000,2026-01-28 09:15:20,
5,1198668346,주식회사 대한환경분석기관,신종우,정상,0,0,0,142000000,2026-01-26 14:24:24,
1,1088197467,세무법인청솔,구판서,정상,0,0,0,108000000,2026-01-27 15:44:30,
2,7578102457,세담 세무법인,김해숙,기준금액 초과,0,0,0,120200000,2026-01-27 16:00:54,
1,3028130054,주식회사 루콘코씨앤씨,김영아,정상,0,0,0,382140000,2026-01-28 13:48:08,
2,1288682283,주식회사 다성에스엔시,권홍철,정상,0,0,0,396330000,2026-01-28 15:46:34,
3,4878700154,주식회사탑솔루션,김영삼,정상,0,0,0,407660000,2026-01-28 13:55:07,
4,1088611917,주식회사 로앤일,윤승만,정상,0,0,0,421850000,2026-01-28 13:29:43,
1,4108192502,주식회사 우영기술단건축사사무소,이몽룡,정상,0,0,0,380000000,2026-01-28 16:07:34,
2,4258701363,만승엔지니어링 주식회사,김성환,정상,0,0,0,430000000,2026-01-28 15:13:06,
1,7198102080,주식회사 대한환경,손나영,정상,0,0,0,52000000,2026-01-29 14:49:51,
2,2158765173,주식회사 한국친환경연구소,양준승,정상,0,0,0,67000000,2026-01-28 11:02:58,
3,1088173785,용운환경주식회사,박승민,정상,0,0,0,82000000,2026-01-28 10:09:39,
4,1018676826,주식회사 한국산업환경연구소,박희웅,정상,0,0,0,95000000,2026-01-27 16:58:03,
5,2158733351,(주) 디오디엔지니어링,김설래,정상,0,0,0,106000000,2026-01-28 09:16:45,
6,1198668346,주식회사 대한환경분석기관,신종우,정상,0,0,0,141000000,2026-01-26 14:28:22,
